iter	RMSE
142	143072.7749
143	142766.9827
144	142302.6596
145	141881.9008
146	141031.5241
147	141025.9291
148	140472.8064
149	139960.2477
150	139410.9439
151	138930.642
152	138650.3941
153	137932.7279
154	137570.5629
155	137095.8482
156	136512.467
157	136275.4723
158	136035.6217
159	135980.8205
160	135899.7534
161	135243.1099
162	134895.6328
163	134893.0114
164	134761.5941
165	134676.862
166	134460.5444
167	134136.2038
168	133919.3888
169	133672.6163
170	133607.2397
171	133424.3879
172	133135.0571
173	132674.6156
174	132353.382
175	131874.969
176	131821.1923
177	131536.1888
178	131293.4022
179	130700.6393
180	130214.4461
181	130168.5576
182	129928.5135
183	129611.9642
184	129073.0866
185	128701.3698
186	128237.7698
187	127885.3817
188	127673.9821
189	127227.645
190	126924.4082
191	126571.8807
192	126196.0383
193	125717.7636
194	125559.962
195	125493.9636
196	125480.2245
197	124991.8695
198	124711.3992
199	124466.5799
200	124238.7411
201	123963.6705
202	123892.7483
203	123597.4804
204	123260.3764
205	123199.808
206	123024.3743
207	122985.2862
208	122928.0299
209	122365.3416
210	122067.9483
211	121790.3965
212	121539.5014
213	121337.7537
214	121310.1186
215	121299.3726
216	121241.5129
217	121067.0049
218	120826.3116
219	120797.9522
220	120791.2966
221	120591.5228
222	120441.0343
223	120195.5817
224	120008.0094
225	119666.442
226	119425.133
227	119211.7414
228	119077.0425
229	118920.2442
230	118841.8788
231	118684.3432
232	118182.2675
233	117968.5703
234	117668.1808
235	117253.4608
236	117108.9405
237	116905.0257
238	116702.7603
239	116349.0507
240	116095.2203
241	115858.3968
242	115684.452
243	115639.9168
244	115639.0145
245	115438.4016
246	115233.2448
247	115100.6085
248	114597.6959
249	114592.0332
250	114440.1375
251	114327.473
252	114024.9316
253	113708.8186
254	113702.011
255	113546.0844
256	113378.8083
257	113108.2134
258	112804.4292
259	112466.0744
260	112444.0372
261	112379.6287
262	112287.0749
263	112066.1799
264	111971.9306
265	111728.4684
266	111545.4149
267	111511.8008
268	111377.1516
269	111260.5777
270	111140.1204
271	110859.5448
272	110740.3811
273	110418.7963
274	110155.9222
275	109933.5246
276	109663.5882
277	109225.0522
278	108946.7201
279	108634.1006
280	108626.8882
281	108508.1018
282	108354.9569
283	107928.8619
284	107663.5673
285	107355.3988
286	107288.0189
287	107052.3634
288	106797.7806
289	106473.3885
290	106069.2043
291	105911.3707
292	105787.879
293	105787.2286
294	105655.3053
295	105609.9972
296	105439.0239
297	105337.4681
298	105313.3465
299	105110.2928
300	104845.589
301	104504.9743
302	104240.2648
303	104063.2914
304	103910.6534
305	103780.1875
306	103535.1834
307	103192.6287
308	102973.4921
309	102923.5419
310	102631.3508
311	102524.6474
312	102358.1868
313	102141.4763
314	101935.2948
315	101692.1438
316	101686.5847
317	101454.8979
318	101391.9819
319	101263.5133
320	101117.047
321	100856.2725
322	100589.8943
323	100412.8518
324	100294.0292
325	100200.8677
326	99999.46849
327	99724.17181
328	99675.80321
329	99459.05592
330	99186.93522
331	99153.01626
332	99049.44684
333	99048.69584
334	98982.84665
335	98748.8811
336	98517.74394
337	98269.75251
338	98269.16472
339	97954.31013
340	97675.96404
341	97640.19495
342	97260.31841
343	97090.54605
344	97029.62227
345	97028.73284
346	96775.82522
347	96593.1721
348	96319.84768
349	96115.44051
350	95883.28021
351	95519.98501
352	95334.82132
353	95230.20205
354	95093.38389
355	94811.84665
356	94714.22767
357	94475.84831
358	94223.99916
359	93987.58822
360	93835.33682
361	93667.87557
362	93664.80057
363	93660.15559
364	93389.89932
365	93255.0425
366	92847.16588
367	92652.0817
368	92610.81868
369	92507.50066
370	92268.95303
371	92202.11925
372	92191.55758
373	91900.07749
374	91899.51409
375	91724.22173
376	91493.69464
377	91183.57527
378	91003.63924
379	90860.67845
380	90598.94976
381	90569.52159
382	90275.00409
383	90250.73546
384	89971.12058
385	89900.06319
386	89719.90027
387	89636.31886
388	89343.66359
389	89253.88252
390	89151.2068
391	89147.19957
392	88905.11795
393	88576.40133
394	88390.97759
395	87975.41593
396	87776.13125
397	87690.04405
398	87496.36528
399	87304.58403
400	87096.63597
401	86779.78237
402	86511.57704
403	86207.35441
404	86059.64085
405	85863.09116
406	85612.48284
407	85230.35127
408	84988.4609
409	84725.12646
410	84520.71638
411	84359.0624
412	84271.54177
413	83967.16799
414	83869.82935
415	83706.1493
416	83490.38129
417	83477.01534
418	83214.65589
419	83078.01961
420	82918.87227
421	82606.33429
422	82523.67509
423	82477.71309
424	82297.05141
425	82158.48355
426	81939.94298
427	81825.71146
428	81482.00557
429	81194.50657
430	81156.59798
431	81009.65141
432	80873.70689
433	80652.80263
434	80467.57068
435	80206.33297
436	80100.43152
437	80031.04237
438	79763.84608
439	79737.91045
440	79698.85649
441	79619.539
442	79494.96179
443	79321.95156
444	79122.59828
445	79020.90063
446	79005.59436
447	78788.5962
448	78561.42174
449	78320.9945
450	78299.53652
451	78167.80494
452	78037.61718
453	77926.44464
454	77717.78335
455	77664.00978
456	77558.69047
457	77365.76387
458	77193.67028
459	76923.77205
460	76734.44152
461	76715.7067
462	76593.87981
463	76476.95954
464	76246.3086
465	76031.76259
466	75887.21963
467	75862.75348
468	75753.41501
469	75501.30275
470	75363.47004
471	75170.53186
472	74976.76681
473	74890.89325
474	74855.31208
475	74819.66669
476	74668.29239
477	74531.62542
478	74400.37948
479	74300.61881
480	74171.31043
481	74102.10591
482	73925.88344
483	73882.20949
484	73754.58672
485	73618.59017
486	73524.24396
487	73443.85576
488	73354.24229
489	73160.08235
490	72993.40003
491	72944.99613
492	72826.13803
493	72695.69971
494	72647.81232
495	72516.91012
496	72507.08415
497	72416.12534
498	72190.75273
499	72142.28706
500	71929.47732
501	71911.95633
502	71824.66177
503	71602.75904
504	71402.65545
505	71391.39518
506	71164.80416
507	71077.02454
508	71045.94031
509	70902.1741
510	70897.08071
511	70852.77215
512	70800.15824
513	70601.64916
514	70594.72652
515	70584.40907
516	70409.30078
517	70260.63673
518	70243.286
519	70083.83465
520	69936.93669
521	69695.04695
522	69523.11234
523	69395.16034
524	69301.8582
525	69101.90801
526	68856.95848
527	68681.34084
528	68633.75294
529	68561.99623
530	68402.04915
531	68370.97085
532	68157.37781
533	68137.82907
534	68028.68084
535	67942.2355
536	67729.86145
537	67694.27599
538	67605.94589
539	67447.09472
540	67405.76775
541	67359.35084
542	67295.14078
543	67197.85581
544	67146.49847
545	67051.64411
546	66993.69995
547	66903.66414
548	66788.62527
549	66627.97599
550	66429.08245
551	66274.13641
552	66160.53372
553	66038.46915
554	66026.85979
555	66006.99302
556	65886.64969
557	65845.19428
558	65663.36323
559	65538.88871
560	65422.40168
561	65371.72948
562	65347.27637
563	65172.66749
564	64925.66007
565	64847.73899
566	64748.15002
567	64737.62122
568	64704.95168
569	64544.60138
570	64405.54333
571	64318.96091
572	64254.01709
573	64113.21215
574	64002.74234
575	63822.04126
576	63768.70859
577	63718.20906
578	63688.13827
579	63497.71898
580	63381.50692
581	63228.4083
582	63070.79331
583	62985.87061
584	62788.04062
585	62737.20163
586	62633.11604
587	62555.24968
588	62536.38203
589	62513.21309
590	62453.50247
591	62302.98117
592	62107.86747
593	62061.79403
594	61954.82587
595	61893.11872
596	61804.11362
597	61640.66116
598	61466.79871
599	61419.9966
600	61322.86547
601	61096.45945
602	60947.50955
603	60873.65412
604	60784.44274
605	60774.06686
606	60689.53682
607	60682.24753
608	60605.81809
609	60518.37916
610	60310.27848
611	60166.84879
612	60056.12489
613	59921.58601
614	59856.95249
615	59827.01081
616	59637.95822
617	59582.52594
618	59549.25723
619	59405.56063
620	59389.84625
621	59257.1426
622	59243.86598
623	59182.1592
624	59001.44149
625	58951.81593
626	58807.21802
627	58672.82173
628	58651.84274
629	58568.28353
630	58470.38
631	58416.15592
632	58262.84742
633	58223.22878
634	58159.79727
635	58129.20016
636	58059.26051
637	58056.68818
638	57955.03345
639	57896.57739
640	57861.90052
641	57759.7505
642	57655.4939
643	57650.57085
644	57485.29286
645	57455.74531
646	57380.43081
647	57302.85971
648	57211.14724
649	57150.98109
650	57104.02836
651	57023.06439
652	56910.02188
653	56770.23563
654	56735.96553
655	56647.15316
656	56637.97845
657	56507.38579
658	56413.7549
659	56378.20089
660	56280.17468
661	56108.93732
662	56058.35508
663	55978.09249
664	55923.44635
665	55793.47861
666	55693.73052
667	55564.15419
668	55515.4648
669	55476.90357
670	55415.03357
671	55341.04389
672	55292.9604
673	55236.7019
674	55154.72965
675	55114.42098
676	55078.30173
677	54998.71337
678	54963.92402
679	54905.72482
680	54847.72197
681	54786.56148
682	54731.34443
683	54620.49451
684	54575.02534
685	54527.81766
686	54409.94689
687	54327.79521
688	54157.13848
689	54042.55554
690	53955.98981
691	53889.70726
692	53866.66286
693	53849.69845
694	53734.86355
695	53599.15281
696	53518.33946
697	53481.43503
698	53409.61692
699	53360.97994
700	53274.67738
701	53173.48803
702	53160.25578
703	53094.27456
704	53075.68524
705	53044.87018
706	52920.47188
707	52817.97003
708	52790.31559
709	52763.33112
710	52757.17444
711	52676.05112
712	52657.75907
713	52555.78134
714	52521.92776
715	52418.12243
716	52415.94514
717	52341.51159
718	52202.64398
719	52147.49796
720	52115.3161
721	52065.96487
722	51998.71423
723	51985.96595
724	51944.24161
725	51871.57032
726	51800.91754
727	51714.35824
728	51646.64651
729	51582.53973
730	51522.49383
731	51457.60256
732	51422.08739
733	51332.87875
734	51251.88636
735	51191.12372
736	51151.65877
737	51115.59974
738	51092.31909
739	50987.78892
740	50964.17269
741	50902.71785
742	50795.14755
743	50766.46118
744	50695.3497
745	50656.25082
746	50609.0751
747	50580.54764
748	50497.49749
749	50411.02136
750	50325.17602
751	50312.35574
752	50182.61654
753	50140.06773
754	50134.20562
755	50055.07659
756	49928.07536
757	49814.36348
758	49657.36347
759	49586.44345
760	49503.00229
761	49377.7482
762	49350.59534
763	49305.35021
764	49212.97223
765	49204.79211
766	49117.95989
767	49019.24041
768	48878.25965
769	48768.0244
770	48719.55944
771	48686.37035
772	48539.37928
773	48500.29748
774	48436.64327
775	48266.64479
776	48139.06715
777	48063.5972
778	48035.77331
779	47900.17814
780	47835.47316
781	47754.48249
782	47714.56189
783	47627.38765
784	47501.98093
785	47383.63093
786	47174.4653
787	47120.96613
788	47099.43779
789	46961.9615
790	46890.23728
791	46828.18829
792	46753.65725
793	46665.6585
794	46575.86392
795	46552.12318
796	46469.0282
797	46437.68966
798	46435.36372
799	46420.62294
800	46377.67597
801	46334.59977
802	46222.35689
803	46197.89664
804	46140.4345
805	46115.11721
806	46005.90842
807	45917.38064
808	45912.4359
809	45863.2918
810	45788.05653
811	45727.46877
812	45703.36789
813	45657.94779
814	45608.17343
815	45535.71233
816	45439.2386
817	45400.82292
818	45344.05688
819	45292.96807
820	45205.90877
821	45172.82025
822	45105.08022
823	45029.51789
824	44901.35316
825	44821.07434
826	44816.7882
827	44811.98826
828	44731.88412
829	44663.80469
830	44649.82146
831	44611.58573
832	44514.27206
833	44460.33254
834	44351.39701
835	44286.55747
836	44249.70087
837	44209.11805
838	44149.02541
839	44070.75751
840	43953.37346
841	43895.5517
842	43840.58729
843	43779.9812
844	43684.48068
845	43644.34923
846	43577.12892
847	43524.8823
848	43495.48259
849	43487.93975
850	43444.47297
851	43340.58992
852	43251.98007
853	43218.87533
854	43178.28182
855	43050.53948
856	42984.77802
857	42900.99409
858	42815.52613
859	42689.2344
860	42592.72065
861	42533.81357
862	42485.55776
863	42466.16431
864	42451.31563
865	42436.21779
866	42401.00729
867	42393.04049
868	42359.01129
869	42248.74503
870	42186.20481
871	42178.39257
872	42149.337
873	42126.58273
874	42090.52377
875	42047.28673
876	42007.60999
877	41956.26944
878	41898.26077
879	41811.30765
880	41777.33548
881	41742.68203
882	41638.98865
883	41532.3639
884	41503.9942
885	41442.80139
886	41421.67072
887	41354.55931
888	41337.0715
889	41268.35242
890	41225.27869
891	41217.32083
892	41159.05955
893	41140.36337
894	41067.17283
895	41032.95347
896	41002.30602
897	40923.89492
898	40892.32175
899	40871.17161
900	40844.92463
901	40815.78092
902	40702.09253
903	40618.54979
904	40562.67421
905	40542.83521
906	40528.33706
907	40503.01425
908	40493.8872
909	40457.2057
910	40429.81091
911	40418.76401
912	40404.77302
913	40336.88607
914	40309.63867
915	40265.36912
916	40249.03238
917	40217.08134
918	40165.31265
919	40091.98773
920	40067.67292
921	39965.41801
922	39941.16139
923	39884.16011
924	39865.4033
925	39859.08514
926	39838.39718
927	39801.76685
928	39789.32695
929	39738.34787
930	39720.00443
931	39668.33901
932	39640.3197
933	39596.3369
934	39559.43897
935	39538.80383
936	39452.31652
937	39447.32008
938	39372.36902
939	39286.92733
940	39208.24199
941	39112.34807
942	39080.97676
943	38969.85638
944	38918.55221
945	38891.1849
946	38851.3333
947	38766.61487
948	38709.68031
949	38671.92061
950	38554.71601
951	38543.72644
952	38514.53503
953	38465.46967
954	38393.72779
955	38340.14696
956	38268.16633
957	38189.62865
958	38068.66943
959	37989.44742
960	37911.43047
961	37814.20267
962	37736.8501
963	37692.74884
964	37583.71394
965	37503.69004
966	37484.76725
967	37461.75129
968	37393.96001
969	37356.27578
970	37323.38629
971	37267.59043
972	37153.77534
973	37142.64813
974	37071.58602
975	37026.12044
976	36983.89465
977	36962.65737
978	36941.44057
979	36881.35301
980	36799.41174
981	36702.90692
982	36669.00179
983	36645.71215
984	36629.46876
985	36585.68511
986	36540.20433
987	36482.95948
988	36411.41421
989	36351.94146
990	36341.48158
991	36248.10132
992	36203.92733
993	36123.09696
994	36074.4305
995	36053.44904
996	36024.66882
997	35972.85378
998	35907.60056
999	35852.98751
1000	35772.50788
1001	35743.62557
1002	35661.16625
1003	35626.2289
1004	35568.00639
1005	35492.3338
1006	35466.24176
1007	35446.50956
1008	35392.66236
1009	35380.46264
1010	35323.8886
1011	35217.94597
1012	35136.75417
1013	35119.80265
1014	35079.19686
1015	35054.00002
1016	35025.60453
1017	34964.23525
1018	34917.8542
1019	34915.30976
1020	34907.73908
1021	34844.15734
1022	34739.56448
1023	34724.09934
1024	34668.53077
1025	34586.81339
1026	34472.20712
1027	34408.36847
1028	34370.48415
1029	34354.80591
1030	34331.6774
1031	34273.09576
1032	34265.76328
1033	34246.09093
1034	34227.92579
1035	34182.89229
1036	34153.19175
1037	34123.22695
1038	34051.64724
1039	34033.19053
1040	33976.12797
1041	33939.24027
1042	33891.29683
1043	33853.29205
1044	33822.62708
1045	33793.74864
1046	33757.37977
1047	33700.5868
1048	33626.05036
1049	33587.10221
1050	33552.02622
1051	33516.02573
1052	33502.50551
1053	33467.35852
1054	33454.26305
1055	33415.93496
1056	33400.56325
1057	33350.08715
1058	33333.05349
1059	33311.01636
1060	33299.38492
1061	33250.11395
1062	33168.27136
1063	33139.17113
1064	33131.6976
1065	33073.98546
1066	33060.26552
1067	33025.48163
1068	32963.18262
1069	32954.62203
1070	32914.65041
1071	32888.82676
1072	32880.65304
1073	32848.01554
1074	32807.36446
1075	32770.79819
1076	32756.17769
1077	32686.28121
1078	32620.04452
1079	32582.51103
1080	32550.66538
1081	32530.92059
1082	32480.53526
1083	32440.82738
1084	32426.81724
1085	32410.75209
1086	32391.65167
1087	32369.13177
1088	32325.70938
1089	32279.20907
1090	32232.59802
1091	32222.24818
1092	32206.64862
1093	32140.57364
1094	32123.11268
1095	32086.2413
1096	32054.84761
1097	32023.72193
1098	31990.87679
1099	31942.26181
1100	31879.45147
1101	31878.8692
1102	31855.88572
1103	31830.4713
1104	31814.30993
1105	31774.92019
1106	31732.03338
1107	31682.61579
1108	31645.09036
1109	31571.04208
1110	31532.75857
1111	31493.41978
1112	31463.34101
1113	31409.75802
1114	31403.16364
1115	31391.32135
1116	31353.10082
1117	31320.71725
1118	31314.23232
1119	31305.12811
1120	31257.85824
1121	31230.05197
1122	31212.70527
1123	31145.72024
1124	31035.54114
1125	31019.10554
1126	30960.30123
1127	30939.88558
1128	30914.34386
1129	30860.09422
1130	30839.89249
1131	30798.54454
1132	30755.06355
1133	30713.12536
1134	30670.95325
1135	30620.28491
1136	30587.90203
1137	30561.4045
1138	30503.58967
1139	30458.74739
1140	30455.44814
1141	30433.55407
1142	30424.25937
1143	30401.80166
1144	30386.5309
1145	30341.41015
1146	30322.57943
1147	30220.71775
1148	30193.16547
1149	30165.16157
1150	30147.30224
1151	30091.53301
1152	30056.0251
1153	30028.40168
1154	30001.36379
1155	29966.17625
1156	29952.84182
1157	29917.06051
1158	29871.79474
1159	29819.5844
1160	29790.72026
1161	29747.98334
1162	29725.11436
1163	29713.99704
1164	29691.42801
1165	29633.46885
1166	29591.39042
1167	29561.20402
1168	29488.36032
1169	29478.41246
1170	29458.22961
1171	29422.36928
1172	29413.67688
1173	29384.67635
1174	29363.38885
1175	29331.39313
1176	29268.72575
1177	29227.4208
1178	29189.6478
1179	29143.43125
1180	29116.94128
1181	29091.14204
1182	29054.81496
1183	29043.27529
1184	29042.99226
1185	29028.56931
1186	29003.65712
1187	28990.67609
1188	28926.23007
1189	28909.87151
1190	28890.46875
1191	28876.46125
1192	28838.30198
1193	28786.41824
1194	28766.47128
1195	28736.40417
1196	28691.91505
1197	28642.12296
1198	28607.45371
1199	28591.16764
1200	28551.19291
1201	28526.41616
1202	28492.42195
1203	28486.31761
1204	28478.03717
1205	28444.20312
1206	28383.09027
1207	28365.26885
1208	28332.71782
1209	28311.95048
1210	28288.21453
1211	28263.0342
1212	28209.61104
1213	28182.80303
1214	28137.80314
1215	28089.14012
1216	28082.31661
1217	28064.23504
1218	28060.60869
1219	28030.63542
1220	28001.6984
1221	27959.75012
1222	27889.80516
1223	27877.271
1224	27869.63588
1225	27857.4756
1226	27848.03439
1227	27791.21149
1228	27779.54444
1229	27763.58068
1230	27685.0152
1231	27611.85294
1232	27575.32676
1233	27543.53215
1234	27498.14254
1235	27452.46439
1236	27410.26157
1237	27354.26798
1238	27312.24046
1239	27253.81713
1240	27179.97517
1241	27145.13046
1242	27109.68554
1243	27077.02057
1244	27038.91001
1245	26974.12519
1246	26942.14041
1247	26928.97294
1248	26923.17216
1249	26883.74035
1250	26857.22997
1251	26806.84425
1252	26750.8323
1253	26723.07499
1254	26695.62217
1255	26637.37999
1256	26625.97666
1257	26574.77767
1258	26556.08157
1259	26503.8835
1260	26413.99403
1261	26402.10824
1262	26400.79849
1263	26377.13495
1264	26363.42746
1265	26358.16103
1266	26346.71661
1267	26342.35036
1268	26301.27108
1269	26278.27812
1270	26262.89555
1271	26235.26426
1272	26229.83989
1273	26206.48006
1274	26150.22396
1275	26126.96331
1276	26096.05655
1277	26075.82306
1278	26047.37217
1279	25991.66425
1280	25947.42796
1281	25927.47039
1282	25872.55407
1283	25862.76448
1284	25832.93574
1285	25802.29354
1286	25791.32617
1287	25771.88409
1288	25731.71271
1289	25690.54815
1290	25666.01266
1291	25663.61367
1292	25634.10199
1293	25607.51898
1294	25585.82013
1295	25549.28146
1296	25528.89668
1297	25484.93996
1298	25482.66921
1299	25444.15746
1300	25396.3403
1301	25384.38379
1302	25350.48437
1303	25330.6615
1304	25320.0114
1305	25270.00456
1306	25261.63678
1307	25230.25524
1308	25196.39849
1309	25173.15314
1310	25167.33623
1311	25130.17137
1312	25088.45778
1313	25070.9325
1314	25051.57013
1315	25011.79084
1316	24960.644
1317	24926.96921
1318	24908.72843
1319	24881.9884
1320	24821.2537
1321	24777.74121
1322	24753.21814
1323	24743.2929
1324	24723.87256
1325	24698.78474
1326	24696.03865
1327	24663.63147
1328	24632.58085
1329	24601.38353
1330	24596.62899
1331	24587.84248
1332	24565.22516
1333	24547.01403
1334	24510.72744
1335	24460.7706
1336	24438.90292
1337	24415.1272
1338	24394.92134
1339	24383.52166
1340	24378.68744
1341	24347.52632
1342	24308.55918
1343	24300.42054
1344	24282.90201
1345	24250.90942
1346	24237.67355
1347	24197.94692
1348	24188.56953
1349	24161.19319
1350	24156.93289
1351	24124.37402
1352	24098.50682
1353	24040.8614
1354	24016.85557
1355	23979.2749
1356	23946.21377
1357	23901.05296
1358	23881.81735
1359	23855.95859
1360	23836.50088
1361	23807.81684
1362	23789.65776
1363	23754.19505
1364	23709.7869
1365	23661.66314
1366	23631.96763
1367	23581.24226
1368	23527.56833
1369	23511.19824
1370	23505.37808
1371	23499.80853
1372	23458.86152
1373	23411.299
1374	23408.1168
1375	23392.30197
1376	23364.49742
1377	23352.56681
1378	23321.55139
1379	23319.67256
1380	23319.02076
1381	23293.71922
1382	23274.82737
1383	23242.36975
1384	23224.33053
1385	23174.83436
1386	23136.48099
1387	23119.85055
1388	23100.71661
1389	23097.76781
1390	23056.92882
1391	23022.06999
1392	23015.73819
1393	22995.58232
1394	22988.24782
1395	22978.16609
1396	22929.40269
1397	22922.99195
1398	22892.25752
1399	22871.09905
1400	22851.7598
1401	22820.24378
1402	22798.4417
1403	22756.09718
1404	22711.74952
1405	22670.77
1406	22664.69687
1407	22641.78117
1408	22588.27715
1409	22573.35904
1410	22561.88884
1411	22553.94531
1412	22538.24212
1413	22520.16212
1414	22488.99158
1415	22459.00502
1416	22404.2312
1417	22380.43454
1418	22369.26211
1419	22363.87185
1420	22309.83109
1421	22299.82739
1422	22278.06113
1423	22260.71559
1424	22209.19708
1425	22156.38908
1426	22123.85217
1427	22100.4202
1428	22062.2084
1429	22046.06217
1430	22031.86209
1431	21994.33572
1432	21957.83526
1433	21890.8541
1434	21832.4454
1435	21787.63204
1436	21782.16195
1437	21764.95641
1438	21754.9638
1439	21747.42252
1440	21696.23078
1441	21671.53574
1442	21635.68117
1443	21609.36085
1444	21591.06135
1445	21572.31882
1446	21536.93242
1447	21514.54528
1448	21498.78875
1449	21482.42491
1450	21471.0164
1451	21459.0815
1452	21447.40852
1453	21412.22572
1454	21387.10529
1455	21382.50273
1456	21333.69015
1457	21306.09676
1458	21301.14998
1459	21290.10575
1460	21282.97832
1461	21268.5976
1462	21257.54939
1463	21225.1473
1464	21222.62412
1465	21197.30643
1466	21182.81044
1467	21156.01204
1468	21126.09753
1469	21114.58509
1470	21074.67532
1471	21060.12882
1472	21022.06886
1473	21014.89282
1474	20992.96204
1475	20934.56964
1476	20918.63004
1477	20883.169
1478	20871.84319
1479	20840.12556
1480	20828.30125
1481	20815.22553
1482	20791.67781
1483	20771.53398
1484	20741.4168
1485	20725.70707
1486	20713.02216
1487	20680.56608
1488	20661.31636
1489	20639.48142
1490	20630.84574
1491	20610.92851
1492	20573.94984
1493	20559.72755
1494	20517.99996
1495	20493.42454
1496	20463.32438
1497	20458.17603
1498	20435.7159
1499	20423.45794
