iter	Passed	Remaining
400	23161	63477
401	23220	63423
402	23275	63357
403	23329	63289
404	23386	63229
405	23441	63163
406	23495	63098
407	23552	63037
408	23606	62969
409	23663	62909
410	23720	62851
411	23778	62794
412	23838	62741
413	23897	62686
414	23956	62632
415	24013	62574
416	24069	62510
417	24126	62450
418	24184	62395
419	24240	62332
420	24295	62268
421	24352	62208
422	24408	62145
423	24461	62078
424	24517	62015
425	24574	61954
426	24630	61893
427	24688	61836
428	24741	61767
429	24797	61704
430	24855	61648
431	24912	61589
432	24968	61526
433	25024	61464
434	25079	61402
435	25137	61345
436	25194	61284
437	25251	61225
438	25308	61166
439	25363	61103
440	25422	61047
441	25478	60988
442	25534	60925
443	25594	60874
444	25651	60813
445	25706	60749
446	25760	60683
447	25819	60629
448	25877	60571
449	25938	60523
450	25996	60466
451	26052	60405
452	26111	60349
453	26167	60288
454	26223	60226
455	26280	60168
456	26335	60104
457	26391	60043
458	26450	59988
459	26511	59938
460	26567	59878
461	26623	59817
462	26679	59754
463	26731	59685
464	26787	59624
465	26847	59571
466	26902	59507
467	26959	59448
468	27015	59389
469	27069	59323
470	27126	59264
471	27181	59200
472	27239	59143
473	27297	59086
474	27353	59026
475	27411	58969
476	27468	58910
477	27524	58849
478	27580	58788
479	27636	58727
480	27707	58698
481	27770	58652
482	27827	58593
483	27883	58533
484	27941	58476
485	28000	58420
486	28055	58357
487	28112	58299
488	28170	58241
489	28224	58176
490	28278	58112
491	28335	58053
492	28391	57992
493	28446	57930
494	28505	57873
495	28561	57813
496	28615	57749
497	28672	57689
498	28729	57631
499	28786	57573
500	28842	57512
501	28895	57446
502	28954	57391
503	29013	57336
504	29067	57272
505	29125	57215
506	29181	57155
507	29238	57095
508	29295	57036
509	29349	56973
510	29405	56911
511	29466	56860
512	29522	56799
513	29577	56737
514	29638	56687
515	29693	56624
516	29749	56564
517	29806	56505
518	29864	56449
519	29923	56393
520	29980	56336
521	30037	56277
522	30101	56232
523	30158	56173
524	30213	56111
525	30267	56047
526	30327	55993
527	30381	55930
528	30441	55875
529	30498	55817
530	30554	55757
531	30611	55698
532	30667	55638
533	30725	55581
534	30785	55528
535	30841	55469
536	30897	55408
537	30957	55354
538	31015	55298
539	31073	55241
540	31131	55184
541	31188	55126
542	31242	55061
543	31298	55002
544	31359	54950
545	31415	54890
546	31470	54829
547	31530	54775
548	31586	54715
549	31641	54652
550	31698	54595
551	31755	54536
552	31812	54478
553	31871	54422
554	31924	54357
555	31980	54297
556	32037	54238
557	32095	54182
558	32152	54124
559	32210	54067
560	32263	54003
561	32318	53941
562	32374	53881
563	32433	53825
564	32486	53761
565	32543	53702
566	32599	53642
567	32658	53587
568	32716	53530
569	32773	53471
570	32829	53412
571	32886	53355
572	32942	53294
573	32997	53232
574	33056	53177
575	33113	53120
576	33171	53063
577	33225	53000
578	33282	52940
579	33340	52885
580	33397	52827
581	33453	52767
582	33523	52729
583	33579	52669
584	33638	52613
585	33695	52556
586	33753	52499
587	33812	52443
588	33869	52384
589	33926	52327
590	33982	52268
591	34037	52205
592	34094	52148
593	34151	52089
594	34205	52027
595	34261	51967
596	34318	51909
597	34373	51847
598	34430	51789
599	34488	51732
600	34545	51673
601	34607	51624
602	34666	51568
603	34721	51507
604	34779	51450
605	34837	51394
606	34893	51334
607	34949	51275
608	35010	51221
609	35063	51158
610	35121	51101
611	35177	51042
612	35233	50981
613	35289	50922
614	35347	50865
615	35402	50805
616	35461	50749
617	35517	50690
618	35574	50632
619	35633	50576
620	35686	50512
621	35742	50452
622	35796	50390
623	35851	50329
624	35908	50272
625	35964	50212
626	36021	50154
627	36077	50094
628	36135	50038
629	36186	49971
630	36242	49912
631	36296	49850
632	36353	49791
633	36413	49737
634	36469	49678
635	36524	49618
636	36580	49559
637	36636	49500
638	36692	49439
639	36743	49374
640	36797	49312
641	36852	49251
642	36912	49197
643	36966	49135
644	37020	49073
645	37078	49017
646	37135	48958
647	37190	48899
648	37249	48843
649	37303	48781
650	37360	48723
651	37416	48664
652	37472	48605
653	37528	48546
654	37583	48485
655	37643	48431
656	37697	48370
657	37755	48313
658	37813	48256
659	37869	48196
660	37928	48141
661	37983	48081
662	38040	48023
663	38096	47964
664	38154	47908
665	38211	47850
666	38267	47791
667	38322	47730
668	38379	47673
669	38433	47611
670	38488	47551
671	38547	47496
672	38602	47436
673	38658	47377
674	38714	47317
675	38775	47264
676	38831	47205
677	38889	47149
678	38944	47089
679	39001	47031
680	39057	46971
681	39114	46914
682	39169	46853
683	39227	46797
684	39291	46748
685	39347	46689
686	39404	46631
687	39464	46577
688	39523	46522
689	39583	46467
690	39639	46408
691	39696	46350
692	39754	46294
693	39812	46237
694	39868	46178
695	39924	46119
696	39977	46057
697	40036	46001
698	40092	45942
699	40151	45887
700	40209	45830
701	40266	45773
702	40322	45713
703	40378	45655
704	40435	45597
705	40489	45536
706	40550	45483
707	40607	45425
708	40663	45366
709	40721	45309
710	40775	45248
711	40833	45191
712	40891	45135
713	40951	45081
714	41006	45020
715	41064	44964
716	41122	44908
717	41180	44851
718	41239	44795
719	41295	44736
720	41351	44677
721	41408	44619
722	41466	44563
723	41526	44508
724	41584	44452
725	41640	44393
726	41697	44335
727	41754	44277
728	41809	44218
729	41869	44163
730	41922	44102
731	41983	44047
732	42041	43991
733	42100	43936
734	42157	43878
735	42215	43822
736	42269	43760
737	42324	43701
738	42382	43644
739	42437	43584
740	42494	43526
741	42551	43468
742	42610	43413
743	42663	43351
744	42724	43297
745	42781	43240
746	42836	43180
747	42894	43123
748	42951	43066
749	43008	43008
750	43062	42948
751	43122	42892
752	43177	42833
753	43233	42775
754	43287	42713
755	43343	42655
756	43397	42595
757	43454	42537
758	43509	42477
759	43564	42418
760	43620	42359
761	43675	42299
762	43731	42241
763	43789	42184
764	43847	42127
765	43901	42067
766	43965	42016
767	44036	41972
768	44094	41915
769	44150	41856
770	44211	41802
771	44272	41748
772	44325	41687
773	44383	41630
774	44439	41572
775	44498	41516
776	44552	41456
777	44610	41399
778	44667	41341
779	44722	41282
780	44785	41230
781	44842	41172
782	44901	41116
783	44959	41059
784	45015	41001
785	45074	40945
786	45133	40889
787	45192	40833
788	45247	40774
789	45305	40717
790	45368	40664
791	45439	40619
792	45508	40572
793	45566	40516
794	45628	40462
795	45684	40404
796	45743	40348
797	45805	40294
798	45864	40239
799	45921	40181
800	45978	40123
801	46039	40069
802	46097	40012
803	46159	39958
804	46213	39898
805	46275	39845
806	46334	39789
807	46391	39731
808	46445	39671
809	46502	39613
810	46559	39555
811	46615	39497
812	46674	39440
813	46729	39381
814	46783	39321
815	46841	39264
816	46895	39204
817	46954	39147
818	47008	39087
819	47068	39032
820	47131	38979
821	47197	38929
822	47253	38870
823	47311	38813
824	47385	38770
825	47440	38710
